id,manufacturer,model,model_year,variant,segment,seats,price_local,currency,range_km,range_rating,battery_capacity_kwh,battery_chemistry,efficiency_wh_km,fast_charge_kw,charge_10_80_min,drivetrain,power_kw,torque_nm,acceleration_0_100_s,top_speed_kmh,length_mm,width_mm,height_mm,wheelbase_mm,ground_clearance_mm,cargo_volume_l,frunk_volume_l,towing_capacity_kg,curb_weight_kg,onboard_charger_kw,charge_port_type,v2l_capable,plug_and_charge,range_city_km,range_highway_km
toyota-bz-limited-awd-2026,Toyota,bZ,2026,Limited AWD,suv,5,45300,USD,447,epa,74.7,nmc,180,150,28,awd,252,537,5.2,160,4689,1859,1651,2850,208,784,,1590,1985,11,nacs,false,true,,
toyota-bz-woodland-2026,Toyota,bZ,2026,Woodland AWD,suv,5,46750,USD,452,epa,74.7,nmc,180,150,30,awd,280,537,4.7,160,4689,1859,1651,2850,211,784,,1590,1996,11,nacs,false,true,,
toyota-chr-ev-2026,Toyota,C-HR,2026,SE AWD,crossover,5,37000,USD,462,epa,74.7,nmc,180,150,30,awd,252,438,5.2,161,4519,1869,1621,2751,203,717,,,1950,11,nacs,false,true,,
lexus-rz-350e-2026,Lexus,RZ,2026,350e FWD,crossover,5,47295,USD,484,epa,74.7,nmc,168,150,30,fwd,165,360,,160,4806,1895,1636,2850,201,671,,,1960,11,nacs,false,false,,
lexus-rz-450e-2026,Lexus,RZ,2026,450e AWD,crossover,5,50795,USD,425,epa,74.7,nmc,187,150,30,awd,230,430,5.2,160,4806,1895,1636,2850,201,671,,,2041,11,nacs,false,false,,
lexus-rz-550e-2026,Lexus,RZ,2026,550e F SPORT AWD,crossover,5,58295,USD,369,epa,77,nmc,218,150,30,awd,300,499,4.4,180,4806,1895,1636,2850,201,671,,,2268,11,nacs,false,false,,
subaru-solterra-2026,Subaru,Solterra,2026,Premium AWD,suv,5,38495,USD,463,epa,74.7,nmc,174,150,28,awd,174,337,,160,4689,1859,1651,2850,211,674,,,1994,11,nacs,false,false,,
honda-prologue-fwd-2026,Honda,Prologue,2026,EX FWD,suv,5,41395,USD,496,epa,85,nmc,193,150,35,fwd,164,330,,185,4877,1989,1643,3094,201,714,,680,2237,11.5,ccs,false,false,,
honda-prologue-awd-2026,Honda,Prologue,2026,EX AWD,suv,5,43495,USD,473,epa,85,nmc,199,150,35,awd,224,481,6.2,209,4877,1989,1656,3094,206,714,,680,2306,11.5,ccs,false,false,,
acura-zdx-rwd-2024,Acura,ZDX,2024,A-Spec RWD,suv,5,64500,USD,504,epa,102,nmc,224,190,42,rwd,267,439,,209,5020,1956,1636,3094,178,841,,1590,2459,11.5,ccs,false,false,,
acura-zdx-awd-2024,Acura,ZDX,2024,A-Spec AWD,suv,5,68500,USD,489,epa,102,nmc,230,190,42,awd,365,592,,209,5020,1956,1636,3094,178,841,,1590,2585,11.5,ccs,false,false,,
acura-zdx-type-s-2024,Acura,ZDX,2024,Type S AWD,suv,5,73500,USD,447,epa,102,nmc,249,190,42,awd,373,738,4.6,209,5020,1956,1636,3094,178,841,,1590,2745,11.5,ccs,false,false,,
volkswagen-id4-rwd-2026,Volkswagen,ID.4,2026,Pro RWD,crossover,5,45095,USD,468,epa,82,nmc,193,175,29,rwd,210,545,6.4,180,4585,1852,1641,2766,155,858,,998,2087,11,ccs,true,true,,
volkswagen-id4-awd-2026,Volkswagen,ID.4,2026,Pro AWD,crossover,5,48995,USD,423,epa,82,nmc,211,175,29,awd,250,560,5.2,180,4585,1852,1656,2766,175,858,,1225,2212,11,ccs,true,true,,
