id,manufacturer,model,model_year,variant,segment,seats,price_local,currency,range_km,range_rating,battery_capacity_kwh,battery_chemistry,efficiency_wh_km,fast_charge_kw,charge_10_80_min,drivetrain,power_kw,torque_nm,acceleration_0_100_s,top_speed_kmh,length_mm,width_mm,height_mm,wheelbase_mm,ground_clearance_mm,cargo_volume_l,frunk_volume_l,towing_capacity_kg,curb_weight_kg,onboard_charger_kw,charge_port_type,v2l_capable,plug_and_charge,range_city_km,range_highway_km
subaru-uncharted-fwd-2026,Subaru,Uncharted,2026,FWD,crossover,5,45785,CAD,399,epa,57.7,nmc,145,150,30,fwd,160,,,160,,,,,,,,,,,nacs,false,false,,
subaru-uncharted-fwd-lr-2026,Subaru,Uncharted,2026,FWD LR,crossover,5,49785,CAD,496,epa,77,nmc,155,150,30,fwd,160,,,160,,,,,,,,,,,nacs,false,false,,
subaru-uncharted-sport-2026,Subaru,Uncharted,2026,Sport,crossover,5,52785,CAD,438,epa,77,nmc,176,150,30,fwd,160,,,160,,,,,,,,,,,nacs,false,false,,
subaru-uncharted-gt-2026,Subaru,Uncharted,2026,GT,crossover,5,54785,CAD,438,epa,77,nmc,176,150,30,fwd,160,,,160,,,,,,,,,,,nacs,false,false,,
tesla-model3-rwd-2026,Tesla,Model 3,2026,RWD,sedan,5,54990,CAD,517,epa,60,lfp,116,170,25,rwd,208,350,6.1,201,4720,1849,1441,2875,140,561,88,,1761,11.5,nacs,false,true,,
tesla-model3-lr-awd-2026,Tesla,Model 3,2026,Long Range AWD,sedan,5,69990,CAD,557,epa,75,nmc,135,250,25,awd,366,493,4.4,225,4720,1849,1441,2875,140,561,88,,1883,11.5,nacs,false,true,,
tesla-modely-rwd-2026,Tesla,Model Y,2026,RWD,suv,5,54990,CAD,517,epa,60,lfp,116,250,28,rwd,220,345,6.9,217,4751,1921,1624,2890,171,854,117,,1979,11.5,nacs,false,true,,
tesla-modely-lr-awd-2026,Tesla,Model Y,2026,Long Range AWD,suv,5,64990,CAD,526,epa,75,nmc,143,250,28,awd,340,493,5.0,217,4751,1921,1624,2890,171,854,117,,2100,11.5,nacs,false,true,,
tesla-models-awd-2026,Tesla,Model S,2026,Dual Motor AWD,sedan,5,151130,CAD,660,epa,95,nca,144,250,20,awd,560,800,3.1,250,4970,1964,1445,2960,118,793,116,,2162,22,nacs,true,true,,
tesla-modelx-awd-2026,Tesla,Model X,2026,Dual Motor AWD,suv,6,163130,CAD,566,epa,94.3,nca,167,250,20,awd,560,800,3.9,250,5057,2070,1684,2965,148,2503,88,,2573,22,nacs,true,true,,
